Scheme ID,Research Area,Eligibility Criteria,Grant Amount Range,Duration (months),Application Deadline,Number of Applications Received,Number of Applications Funded
74,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,12,2023-08-10,1178,148
75,Neuroscience,PhD students and postdoctoral fellows,5000-15000,36,2023-05-10,809,96
76,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,2023-09-23,1036,16
77,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,2023-07-12,91,123
78,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,2023-10-29,662,123
79,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,24,2023-10-08,450,97
80,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,6,2023-01-10,1469,35
81,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,2023-08-31,852,64
82,Materials Science,PhD students and postdoctoral fellows,5000-15000,24,2023-02-07,1103,76
83,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,2023-11-26,659,57
84,Electrical Engineering,Researchers from developing countries,20000-50000,24,2023-07-20,742,72
85,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,12,2023-08-01,1931,16
86,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,2023-01-16,1282,137
87,Medical Research,Researchers from developing countries,25000-50000,12,2023-02-12,1354,157
88,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,12,2023-02-03,1265,13
89,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2023-10-24,204,32
90,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-01-06,374,49
91,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,6,2023-05-07,786,28
92,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,2023-04-20,1559,73
93,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,2023-03-05,1106,64
94,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,500000-1000000,24,2023-05-23,301,19
95,Physics,Researchers from developing countries,20000-50000,12,2023-01-08,83,31
96,Neuroscience,Researchers from developing countries,5000-10000,24,2023-09-13,1382,56
97,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-500000,36,2023-11-24,1620,10
98,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,12,2023-12-04,146,55
99,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,2023-08-13,190,29
100,Medical Research,Early-career researchers with a PhD or equivalent degree,100000-250000,12,2023-07-15,253,13
101,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,2023-09-20,200,106
102,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,24,2023-10-29,1976,6
103,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,12,2023-09-04,654,141
104,Environmental Science,Researchers from developing countries,50000-100000,6,2023-07-31,137,65
105,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,24,2023-05-19,725,9
106,Physics,Researchers from developing countries,50000-100000,36,2023-01-27,1806,174
107,Medical Research,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-01-12,729,163
108,Medical Research,Early-career researchers with a PhD or equivalent degree,20000-50000,36,2023-01-16,1816,182
109,Electrical Engineering,PhD students and postdoctoral fellows,100000-250000,12,2023-10-15,1872,22
110,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,2023-03-20,944,58
111,Electrical Engineering,Researchers from developing countries,5000-10000,24,2023-02-27,787,108
112,Materials Science,Early-career researchers with a PhD or equivalent degree,25000-50000,6,2023-01-31,325,155
113,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-09-15,539,43
114,Medical Research,Researchers from developing countries,100000-250000,6,2023-05-17,666,84
115,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2023-10-08,1276,91
116,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,24,2023-01-05,700,183
117,Computer Science,Researchers from developing countries,500000-1000000,6,2023-10-21,1148,75
118,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,12,2023-05-20,573,191
119,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,2023-03-23,1939,145
120,Physics,PhD students and postdoctoral fellows,5000-15000,6,2023-06-22,115,199
121,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,24,2023-06-17,122,9
122,Materials Science,PhD students and postdoctoral fellows,100000-250000,36,2023-11-23,1026,112
123,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2023-07-01,817,79
124,Physics,Early-career researchers with a PhD or equivalent degree,25000-50000,24,2023-05-04,262,166
125,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-11-11,144,26
126,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,2023-11-02,1921,23
127,Medical Research,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2023-02-03,1478,44
128,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2023-03-23,559,84
129,Environmental Science,PhD students and postdoctoral fellows,20000-50000,24,2023-05-18,1602,96
130,Computer Science,PhD students and postdoctoral fellows,50000-100000,24,2023-01-31,424,6
131,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,2023-11-14,1749,166
132,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,36,2023-10-11,1064,18
133,Chemical Engineering,Researchers from developing countries,100000-500000,24,2023-06-11,618,42
134,Materials Science,PhD students and postdoctoral fellows,500000-1000000,36,2023-09-24,320,64
135,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-250000,36,2023-01-21,1398,176
136,Computer Science,PhD students and postdoctoral fellows,100000-250000,36,2023-08-22,1648,192
137,Electrical Engineering,Researchers from developing countries,5000-10000,24,2023-02-28,178,123
138,Electrical Engineering,Researchers from developing countries,100000-250000,36,2023-01-30,306,164
139,Neuroscience,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-08-17,761,79
140,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-500000,24,2023-11-28,430,170
141,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-09-29,1333,145
142,Physics,Researchers from developing countries,50000-100000,24,2023-09-23,1188,160
143,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,2023-05-25,1248,50
144,Electrical Engineering,PhD students and postdoctoral fellows,5000-15000,12,2023-03-28,733,161
145,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,6,2023-09-24,1921,62
146,Medical Research,Researchers from developing countries,50000-100000,36,2023-12-09,1882,75
147,Environmental Science,Researchers from developing countries,50000-100000,6,2023-02-23,143,141
148,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,36,2023-09-10,600,37
149,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,36,2023-04-22,1259,179
150,Computer Science,PhD students and postdoctoral fellows,5000-15000,6,2023-01-13,243,157
151,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-04-01,685,126
152,Computer Science,Early-career researchers with a PhD or equivalent degree,50000-100000,12,2023-01-18,1724,65
153,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-15000,36,2023-04-29,1246,91
154,Physics,Researchers from developing countries,100000-500000,24,2023-04-09,815,154
155,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,24,2023-04-26,697,174
156,Computer Science,PhD students and postdoctoral fellows,100000-250000,24,2023-02-02,259,193
157,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,2023-04-07,289,57
158,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,2023-01-29,1062,58
159,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-500000,24,2023-09-06,295,95
160,Electrical Engineering,Researchers from developing countries,5000-10000,36,2023-10-28,142,93
161,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-03-29,1840,165
162,Materials Science,Researchers from developing countries,100000-250000,36,2023-09-20,1674,115
163,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,36,2023-11-29,1731,171
164,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-250000,12,2023-03-22,1701,57
165,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-500000,12,2023-08-24,631,53
166,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,2023-06-27,613,134
167,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,2023-07-19,478,163
168,Medical Research,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-08-19,553,39
169,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,24,2023-05-07,1494,78
170,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,2023-01-31,1657,183
171,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,6,2023-08-07,1399,86
172,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,2023-04-18,1021,111
173,Environmental Science,Researchers from developing countries,5000-10000,12,2023-05-31,523,19
174,Physics,Early-career researchers with a PhD or equivalent degree,100000-500000,36,2023-02-27,1129,197
175,Medical Research,Early-career researchers with a PhD or equivalent degree,20000-50000,12,2023-11-12,1754,43
176,Environmental Science,PhD students and postdoctoral fellows,5000-15000,12,2023-09-18,438,111
177,Materials Science,Researchers from developing countries,20000-50000,24,2023-09-03,536,195
178,Materials Science,Researchers from developing countries,100000-250000,24,2023-11-19,231,27
179,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,24,2023-04-12,436,144
180,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,2023-01-18,437,159
181,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,36,2023-02-22,948,146
182,Medical Research,PhD students and postdoctoral fellows,100000-500000,24,2023-08-18,1821,85
183,Neuroscience,PhD students and postdoctoral fellows,5000-15000,24,2023-11-26,1878,171
184,Computer Science,Researchers from developing countries,100000-250000,24,2023-03-20,1753,8
185,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,2023-06-18,238,125
186,Physics,PhD students and postdoctoral fellows,25000-50000,24,2023-01-14,1606,9
187,Neuroscience,PhD students and postdoctoral fellows,50000-100000,12,2023-06-23,280,7
188,Medical Research,Researchers from developing countries,25000-50000,6,2023-11-14,473,155
189,Materials Science,Early-career researchers with a PhD or equivalent degree,50000-100000,24,2023-09-27,1699,35
190,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-250000,24,2023-05-05,945,82
191,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-12-12,860,116
192,Chemical Engineering,Researchers from developing countries,5000-15000,12,2023-10-19,952,109
193,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,2023-06-07,887,119
194,Chemical Engineering,PhD students and postdoctoral fellows,50000-100000,12,2023-05-09,941,175
195,Physics,Early-career researchers with a PhD or equivalent degree,20000-50000,6,2023-09-27,1499,108
196,Environmental Science,PhD students and postdoctoral fellows,50000-100000,36,2023-05-19,367,140
197,Medical Research,Researchers from developing countries,5000-15000,24,2023-06-04,211,121
198,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-11-03,151,78
199,Environmental Science,Early-career researchers with a PhD or equivalent degree,50000-100000,12,2023-08-22,1388,111
200,Medical Research,Early-career researchers with a PhD or equivalent degree,50000-100000,6,2023-05-05,1660,167
201,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,2023-02-17,1897,199
202,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2023-02-11,1889,164
203,Chemical Engineering,Researchers from developing countries,100000-500000,24,2023-09-18,1660,15
204,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-15000,36,2023-11-18,518,121
205,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,2023-12-08,1951,47
206,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-250000,36,2023-02-17,1555,16
207,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,2023-11-22,1369,115
208,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-09-01,458,85
209,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,2023-12-15,725,197
210,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-250000,24,2023-06-06,464,66
211,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,2023-11-15,1870,25
212,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-500000,24,2023-02-07,1560,102
213,Computer Science,PhD students and postdoctoral fellows,50000-100000,6,2023-08-17,808,90
214,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,2023-12-31,1010,60
215,Medical Research,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-11-28,877,163
216,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-500000,24,2023-07-14,165,34
217,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2023-02-07,1710,44
218,Electrical Engineering,Researchers from developing countries,100000-250000,36,2023-03-17,1540,189
219,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-08-18,837,157
220,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,2023-07-07,980,161
221,Materials Science,Researchers from developing countries,100000-500000,36,2023-08-12,994,52
222,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,6,2023-01-26,1178,156
223,Physics,Early-career researchers with a PhD or equivalent degree,50000-100000,6,2023-03-28,969,142
224,Physics,PhD students and postdoctoral fellows,100000-250000,36,2023-06-14,762,192
225,Computer Science,PhD students and postdoctoral fellows,100000-500000,6,2023-03-20,1559,39
226,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-03-06,902,89
227,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,2023-06-11,1280,62
228,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,2023-11-07,1521,125
229,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,2023-01-31,1222,15
230,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,2023-10-23,1184,89
231,Materials Science,Researchers from developing countries,500000-1000000,12,2023-07-19,593,97
232,Medical Research,Early-career researchers with a PhD or equivalent degree,5000-15000,36,2023-11-08,663,143
233,Materials Science,Researchers from developing countries,100000-500000,36,2023-02-14,1477,90
234,Chemical Engineering,PhD students and postdoctoral fellows,100000-250000,6,2023-10-13,1825,156
235,Medical Research,Researchers from developing countries,5000-10000,6,2023-10-10,1604,110
236,Materials Science,Researchers from developing countries,100000-500000,6,2023-06-07,1054,55
237,Environmental Science,PhD students and postdoctoral fellows,500000-1000000,24,2023-04-23,181,154
238,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,36,2023-09-20,586,117
239,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,24,2023-02-16,1212,133
240,Computer Science,Early-career researchers with a PhD or equivalent degree,500000-1000000,24,2023-11-22,602,168
241,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,36,2023-05-10,465,141
242,Computer Science,Early-career researchers with a PhD or equivalent degree,50000-100000,6,2023-10-05,1487,111
243,Neuroscience,PhD students and postdoctoral fellows,20000-50000,6,2023-04-24,908,78
244,Computer Science,PhD students and postdoctoral fellows,20000-50000,36,2023-09-15,1192,139
245,Computer Science,Early-career researchers with a PhD or equivalent degree,500000-1000000,24,2023-02-07,1899,88
246,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-01-16,257,131
247,Materials Science,Researchers from developing countries,5000-10000,6,2023-10-10,326,45
248,Computer Science,PhD students and postdoctoral fellows,100000-250000,6,2023-03-10,1791,196
249,Physics,Researchers from developing countries,500000-1000000,36,2023-10-06,757,29
250,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,6,2023-03-10,458,188
251,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,2023-03-28,395,159
252,Physics,Early-career researchers with a PhD or equivalent degree,5000-15000,12,2023-01-26,190,10
253,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,2023-11-12,731,170
254,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,6,2023-08-29,1316,105
255,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,24,2023-07-09,1164,154
256,Materials Science,Researchers from developing countries,5000-10000,36,2023-08-22,1336,174
257,Materials Science,PhD students and postdoctoral fellows,5000-10000,6,2023-06-18,1995,131
258,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,2023-11-14,1357,188
259,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,2023-03-05,1475,150
260,Environmental Science,Researchers from developing countries,50000-100000,6,2023-07-18,937,101
261,Medical Research,PhD students and postdoctoral fellows,25000-50000,24,2023-03-04,739,71
262,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,12,2023-09-09,79,168
263,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,2023-06-19,57,14
264,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,2023-12-25,674,91
265,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,2023-11-09,1786,164
266,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-250000,36,2023-06-13,269,5
267,Materials Science,PhD students and postdoctoral fellows,20000-50000,12,2023-07-01,1634,131
268,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,2023-05-15,421,145
269,Materials Science,Early-career researchers with a PhD or equivalent degree,20000-50000,6,2023-06-22,1635,147
270,Computer Science,Researchers from developing countries,5000-15000,24,2023-08-11,235,182
271,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,36,2023-09-02,597,26
272,Chemical Engineering,PhD students and postdoctoral fellows,100000-500000,36,2023-01-31,1567,21
273,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,2023-02-19,1619,71
274,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-250000,12,2023-11-18,319,87
275,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,2023-02-25,428,172
276,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,36,2023-01-20,1213,111
277,Electrical Engineering,Researchers from developing countries,25000-50000,12,2023-09-01,558,5
278,Computer Science,PhD students and postdoctoral fellows,5000-10000,12,2023-04-24,1868,81
279,Electrical Engineering,Researchers from developing countries,20000-50000,12,2023-07-13,701,164
280,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,2023-08-16,944,132
281,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-15000,12,2023-09-08,56,20
282,Electrical Engineering,Researchers from developing countries,20000-50000,36,2023-01-05,291,113
283,Electrical Engineering,Researchers from developing countries,25000-50000,6,2023-02-19,333,82
