scheme_id,research_area,eligible,grant_amt,duration,app_dead,no_app,no_app_fund
109,Electrical Engineering,PhD students and postdoctoral fellows,100000-250000,12,10/15/2023,1872,22
110,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,3/20/2023,944,58
111,Electrical Engineering,Researchers from developing countries,5000-10000,24,2/27/2023,787,108
112,Materials Science,Early-career researchers with a PhD or equivalent degree,25000-50000,6,1/31/2023,325,155
113,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,9/15/2023,539,43
114,Medical Research,Researchers from developing countries,100000-250000,6,5/17/2023,666,84
115,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,10/8/2023,1276,91
116,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,24,1/5/2023,700,183
117,Computer Science,Researchers from developing countries,500000-1000000,6,10/21/2023,1148,75
118,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,12,5/20/2023,573,191
119,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,3/23/2023,1939,145
120,Physics,PhD students and postdoctoral fellows,5000-15000,6,6/22/2023,115,199
121,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,24,6/17/2023,122,9
122,Materials Science,PhD students and postdoctoral fellows,100000-250000,36,11/23/2023,1026,112
123,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,7/1/2023,817,79
124,Physics,Early-career researchers with a PhD or equivalent degree,25000-50000,24,5/4/2023,262,166
125,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,11/11/2023,144,26
126,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,11/2/2023,1921,23
127,Medical Research,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2/3/2023,1478,44
128,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,3/23/2023,559,84
129,Environmental Science,PhD students and postdoctoral fellows,20000-50000,24,5/18/2023,1602,96
130,Computer Science,PhD students and postdoctoral fellows,50000-100000,24,1/31/2023,424,6
131,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,11/14/2023,1749,166
132,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,36,10/11/2023,1064,18
133,Chemical Engineering,Researchers from developing countries,100000-500000,24,6/11/2023,618,42
134,Materials Science,PhD students and postdoctoral fellows,500000-1000000,36,9/24/2023,320,64
135,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-250000,36,1/21/2023,1398,176
136,Computer Science,PhD students and postdoctoral fellows,100000-250000,36,8/22/2023,1648,192
137,Electrical Engineering,Researchers from developing countries,5000-10000,24,2/28/2023,178,123
138,Electrical Engineering,Researchers from developing countries,100000-250000,36,1/30/2023,306,164
139,Neuroscience,Early-career researchers with a PhD or equivalent degree,50000-100000,36,8/17/2023,761,79
140,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-500000,24,11/28/2023,430,170
141,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-500000,6,9/29/2023,1333,145
142,Physics,Researchers from developing countries,50000-100000,24,9/23/2023,1188,160
143,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,6,5/25/2023,1248,50
144,Electrical Engineering,PhD students and postdoctoral fellows,5000-15000,12,3/28/2023,733,161
145,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,6,9/24/2023,1921,62
146,Medical Research,Researchers from developing countries,50000-100000,36,12/9/2023,1882,75
147,Environmental Science,Researchers from developing countries,50000-100000,6,2/23/2023,143,141
148,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,36,9/10/2023,600,37
149,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,36,4/22/2023,1259,179
150,Computer Science,PhD students and postdoctoral fellows,5000-15000,6,1/13/2023,243,157
151,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-500000,6,4/1/2023,685,126
152,Computer Science,Early-career researchers with a PhD or equivalent degree,50000-100000,12,1/18/2023,1724,65
153,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-15000,36,4/29/2023,1246,91
154,Physics,Researchers from developing countries,100000-500000,24,4/9/2023,815,154
155,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,24,4/26/2023,697,174
156,Computer Science,PhD students and postdoctoral fellows,100000-250000,24,2/2/2023,259,193
157,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,4/7/2023,289,57
158,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,1/29/2023,1062,58
159,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-500000,24,9/6/2023,295,95
160,Electrical Engineering,Researchers from developing countries,5000-10000,36,10/28/2023,142,93
161,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,3/29/2023,1840,165
162,Materials Science,Researchers from developing countries,100000-250000,36,9/20/2023,1674,115
163,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,36,11/29/2023,1731,171
164,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-250000,12,3/22/2023,1701,57
165,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-500000,12,8/24/2023,631,53
166,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,6/27/2023,613,134
167,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,7/19/2023,478,163
168,Medical Research,Early-career researchers with a PhD or equivalent degree,50000-100000,36,8/19/2023,553,39
169,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,24,5/7/2023,1494,78
170,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,1/31/2023,1657,183
171,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,6,8/7/2023,1399,86
172,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,4/18/2023,1021,111
173,Environmental Science,Researchers from developing countries,5000-10000,12,5/31/2023,523,19
174,Physics,Early-career researchers with a PhD or equivalent degree,100000-500000,36,2/27/2023,1129,197
175,Medical Research,Early-career researchers with a PhD or equivalent degree,20000-50000,12,11/12/2023,1754,43
176,Environmental Science,PhD students and postdoctoral fellows,5000-15000,12,9/18/2023,438,111
177,Materials Science,Researchers from developing countries,20000-50000,24,9/3/2023,536,195
178,Materials Science,Researchers from developing countries,100000-250000,24,11/19/2023,231,27
179,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,24,4/12/2023,436,144
180,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,1/18/2023,437,159
181,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,36,2/22/2023,948,146
182,Medical Research,PhD students and postdoctoral fellows,100000-500000,24,8/18/2023,1821,85
183,Neuroscience,PhD students and postdoctoral fellows,5000-15000,24,11/26/2023,1878,171
184,Computer Science,Researchers from developing countries,100000-250000,24,3/20/2023,1753,8
185,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,6/18/2023,238,125
186,Physics,PhD students and postdoctoral fellows,25000-50000,24,1/14/2023,1606,9
187,Neuroscience,PhD students and postdoctoral fellows,50000-100000,12,6/23/2023,280,7
188,Medical Research,Researchers from developing countries,25000-50000,6,11/14/2023,473,155
189,Materials Science,Early-career researchers with a PhD or equivalent degree,50000-100000,24,9/27/2023,1699,35
190,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-250000,24,5/5/2023,945,82
191,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,12/12/2023,860,116
192,Chemical Engineering,Researchers from developing countries,5000-15000,12,10/19/2023,952,109
193,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,6/7/2023,887,119
194,Chemical Engineering,PhD students and postdoctoral fellows,50000-100000,12,5/9/2023,941,175
195,Physics,Early-career researchers with a PhD or equivalent degree,20000-50000,6,9/27/2023,1499,108
196,Environmental Science,PhD students and postdoctoral fellows,50000-100000,36,5/19/2023,367,140
197,Medical Research,Researchers from developing countries,5000-15000,24,6/4/2023,211,121
198,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,11/3/2023,151,78
199,Environmental Science,Early-career researchers with a PhD or equivalent degree,50000-100000,12,8/22/2023,1388,111
200,Medical Research,Early-career researchers with a PhD or equivalent degree,50000-100000,6,5/5/2023,1660,167
201,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,2/17/2023,1897,199
202,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,12,2/11/2023,1889,164
203,Chemical Engineering,Researchers from developing countries,100000-500000,24,9/18/2023,1660,15
204,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-15000,36,11/18/2023,518,121
205,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,12/8/2023,1951,47
206,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-250000,36,2/17/2023,1555,16
207,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,11/22/2023,1369,115
208,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,9/1/2023,458,85
209,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,12/15/2023,725,197
210,Neuroscience,Early-career researchers with a PhD or equivalent degree,100000-250000,24,6/6/2023,464,66
211,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,11/15/2023,1870,25
212,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-500000,24,2/7/2023,1560,102
213,Computer Science,PhD students and postdoctoral fellows,50000-100000,6,8/17/2023,808,90
214,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,12/31/2023,1010,60
215,Medical Research,Early-career researchers with a PhD or equivalent degree,50000-100000,36,11/28/2023,877,163
216,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-500000,24,7/14/2023,165,34
217,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2/7/2023,1710,44
218,Electrical Engineering,Researchers from developing countries,100000-250000,36,3/17/2023,1540,189
219,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-15000,6,8/18/2023,837,157
220,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,7/7/2023,980,161
221,Materials Science,Researchers from developing countries,100000-500000,36,8/12/2023,994,52
222,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,6,1/26/2023,1178,156
223,Physics,Early-career researchers with a PhD or equivalent degree,50000-100000,6,3/28/2023,969,142
224,Physics,PhD students and postdoctoral fellows,100000-250000,36,6/14/2023,762,192
225,Computer Science,PhD students and postdoctoral fellows,100000-500000,6,3/20/2023,1559,39
226,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,3/6/2023,902,89
227,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,6/11/2023,1280,62
228,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,11/7/2023,1521,125
229,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,24,1/31/2023,1222,15
230,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,10/23/2023,1184,89
231,Materials Science,Researchers from developing countries,500000-1000000,12,7/19/2023,593,97
232,Medical Research,Early-career researchers with a PhD or equivalent degree,5000-15000,36,11/8/2023,663,143
233,Materials Science,Researchers from developing countries,100000-500000,36,2/14/2023,1477,90
234,Chemical Engineering,PhD students and postdoctoral fellows,100000-250000,6,10/13/2023,1825,156
235,Medical Research,Researchers from developing countries,5000-10000,6,10/10/2023,1604,110
236,Materials Science,Researchers from developing countries,100000-500000,6,6/7/2023,1054,55
237,Environmental Science,PhD students and postdoctoral fellows,500000-1000000,24,4/23/2023,181,154
238,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,36,9/20/2023,586,117
239,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,24,2/16/2023,1212,133
240,Computer Science,Early-career researchers with a PhD or equivalent degree,500000-1000000,24,11/22/2023,602,168
241,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,36,5/10/2023,465,141
242,Computer Science,Early-career researchers with a PhD or equivalent degree,50000-100000,6,10/5/2023,1487,111
243,Neuroscience,PhD students and postdoctoral fellows,20000-50000,6,4/24/2023,908,78
244,Computer Science,PhD students and postdoctoral fellows,20000-50000,36,9/15/2023,1192,139
245,Computer Science,Early-career researchers with a PhD or equivalent degree,500000-1000000,24,2/7/2023,1899,88
246,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,1/16/2023,257,131
247,Materials Science,Researchers from developing countries,5000-10000,6,10/10/2023,326,45
248,Computer Science,PhD students and postdoctoral fellows,100000-250000,6,3/10/2023,1791,196
249,Physics,Researchers from developing countries,500000-1000000,36,10/6/2023,757,29
250,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,6,3/10/2023,458,188
251,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,3/28/2023,395,159
252,Physics,Early-career researchers with a PhD or equivalent degree,5000-15000,12,1/26/2023,190,10
253,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,24,11/12/2023,731,170
254,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,6,8/29/2023,1316,105
255,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,24,7/9/2023,1164,154
256,Materials Science,Researchers from developing countries,5000-10000,36,8/22/2023,1336,174
257,Materials Science,PhD students and postdoctoral fellows,5000-10000,6,6/18/2023,1995,131
258,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,11/14/2023,1357,188
259,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,6,3/5/2023,1475,150
260,Environmental Science,Researchers from developing countries,50000-100000,6,7/18/2023,937,101
261,Medical Research,PhD students and postdoctoral fellows,25000-50000,24,3/4/2023,739,71
262,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,12,9/9/2023,79,168
263,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,6/19/2023,57,14
264,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,12/25/2023,674,91
265,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,11/9/2023,1786,164
266,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-250000,36,6/13/2023,269,5
267,Materials Science,PhD students and postdoctoral fellows,20000-50000,12,7/1/2023,1634,131
268,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,24,5/15/2023,421,145
269,Materials Science,Early-career researchers with a PhD or equivalent degree,20000-50000,6,6/22/2023,1635,147
270,Computer Science,Researchers from developing countries,5000-15000,24,8/11/2023,235,182
271,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,36,9/2/2023,597,26
272,Chemical Engineering,PhD students and postdoctoral fellows,100000-500000,36,1/31/2023,1567,21
273,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,12,2/19/2023,1619,71
274,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-250000,12,11/18/2023,319,87
275,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,12,2/25/2023,428,172
276,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,36,1/20/2023,1213,111
277,Electrical Engineering,Researchers from developing countries,25000-50000,12,9/1/2023,558,5
278,Computer Science,PhD students and postdoctoral fellows,5000-10000,12,4/24/2023,1868,81
279,Electrical Engineering,Researchers from developing countries,20000-50000,12,7/13/2023,701,164
280,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,8/16/2023,944,132
281,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-15000,12,9/8/2023,56,20
282,Electrical Engineering,Researchers from developing countries,20000-50000,36,1/5/2023,291,113
283,Electrical Engineering,Researchers from developing countries,25000-50000,6,2/19/2023,333,82
284,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-10000,6,7/28/2023,300,199
