Scheme ID,Research Area,Eligibility Criteria,Grant Amount Range,Duration (months),Application Deadline,Number of Applications Received,Number of Applications Funded
76,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,2023-06-06,1705,10
77,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,6,2023-11-27,730,44
78,Environmental Science,Researchers from developing countries,500000-1000000,6,2023-05-20,209,154
79,Chemical Engineering,PhD students and postdoctoral fellows,25000-50000,6,2023-01-17,360,113
80,Environmental Science,Early-career researchers with a PhD or equivalent degree,50000-100000,24,2023-02-28,713,76
81,Medical Research,Early-career researchers with a PhD or equivalent degree,20000-50000,6,2023-05-04,967,28
82,Electrical Engineering,PhD students and postdoctoral fellows,50000-100000,6,2023-08-28,1894,186
83,Computer Science,PhD students and postdoctoral fellows,100000-250000,12,2023-04-17,646,49
84,Neuroscience,Early-career researchers with a PhD or equivalent degree,50000-100000,6,2023-06-13,432,136
85,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-10-23,564,179
86,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,24,2023-11-20,1130,46
87,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-10000,24,2023-04-29,462,172
88,Physics,Researchers from developing countries,50000-100000,24,2023-03-05,349,182
89,Environmental Science,Researchers from developing countries,5000-15000,36,2023-03-03,692,46
90,Environmental Science,PhD students and postdoctoral fellows,500000-1000000,24,2023-06-20,1271,35
91,Physics,Researchers from developing countries,20000-50000,12,2023-11-02,652,20
92,Computer Science,PhD students and postdoctoral fellows,5000-15000,6,2023-06-06,1534,164
93,Materials Science,Researchers from developing countries,500000-1000000,6,2023-01-12,1585,163
94,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,100000-250000,24,2023-08-02,266,103
95,Environmental Science,Researchers from developing countries,5000-15000,36,2023-12-24,1570,118
96,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-12-01,1647,15
97,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,24,2023-04-29,1412,92
98,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-03-04,1542,148
99,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,2023-07-14,862,13
100,Environmental Science,Early-career researchers with a PhD or equivalent degree,100000-500000,36,2023-10-25,406,156
101,Physics,Researchers from developing countries,25000-50000,12,2023-09-19,1788,100
102,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,2023-06-15,160,86
103,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,36,2023-09-06,1928,29
104,Computer Science,Researchers from developing countries,5000-10000,6,2023-10-13,1718,35
105,Neuroscience,Researchers from developing countries,25000-50000,36,2023-02-10,648,141
106,Chemical Engineering,PhD students and postdoctoral fellows,100000-500000,12,2023-08-12,379,171
107,Materials Science,Researchers from developing countries,5000-10000,6,2023-11-29,1457,92
108,Environmental Science,PhD students and postdoctoral fellows,20000-50000,12,2023-08-10,1267,127
109,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,12,2023-07-15,334,75
110,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,12,2023-10-17,572,24
111,Neuroscience,Early-career researchers with a PhD or equivalent degree,500000-1000000,24,2023-02-18,1339,174
112,Physics,PhD students and postdoctoral fellows,500000-1000000,24,2023-02-21,743,197
113,Electrical Engineering,PhD students and postdoctoral fellows,5000-15000,36,2023-11-02,76,81
114,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,12,2023-08-10,932,5
115,Computer Science,Researchers from developing countries,5000-15000,36,2023-02-11,1088,40
116,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,12,2023-04-24,1872,105
117,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,2023-05-02,1416,116
118,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,2023-11-30,1753,133
119,Computer Science,PhD students and postdoctoral fellows,50000-100000,24,2023-08-01,1140,101
120,Environmental Science,Early-career researchers with a PhD or equivalent degree,50000-100000,12,2023-05-24,1820,155
121,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,24,2023-11-01,1029,158
122,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,12,2023-05-31,1179,141
123,Electrical Engineering,PhD students and postdoctoral fellows,5000-10000,24,2023-12-26,750,166
124,Chemical Engineering,PhD students and postdoctoral fellows,100000-500000,12,2023-11-19,893,15
125,Physics,Researchers from developing countries,500000-1000000,6,2023-11-29,1694,46
126,Chemical Engineering,PhD students and postdoctoral fellows,50000-100000,12,2023-04-02,1311,66
127,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,2023-03-02,1912,159
128,Computer Science,PhD students and postdoctoral fellows,500000-1000000,24,2023-07-02,1877,117
129,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,24,2023-05-07,1872,80
130,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-250000,6,2023-01-30,1551,141
131,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,6,2023-07-16,404,92
132,Physics,Researchers from developing countries,20000-50000,36,2023-09-21,1405,101
133,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-09-26,1011,122
134,Physics,Researchers from developing countries,50000-100000,24,2023-02-16,1587,160
135,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,12,2023-03-30,1314,23
136,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,24,2023-10-19,1173,106
137,Chemical Engineering,Researchers from developing countries,100000-250000,12,2023-08-17,1514,183
138,Materials Science,Researchers from developing countries,50000-100000,36,2023-09-13,1032,186
139,Neuroscience,PhD students and postdoctoral fellows,25000-50000,36,2023-02-21,467,145
140,Environmental Science,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-08-27,1799,186
141,Materials Science,PhD students and postdoctoral fellows,25000-50000,6,2023-12-10,612,77
142,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-10-16,196,75
143,Medical Research,Researchers from developing countries,500000-1000000,36,2023-02-13,1125,197
144,Physics,PhD students and postdoctoral fellows,5000-15000,36,2023-01-23,726,165
145,Computer Science,PhD students and postdoctoral fellows,5000-15000,24,2023-11-01,486,60
146,Environmental Science,Researchers from developing countries,100000-250000,36,2023-09-19,1713,183
147,Materials Science,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-07-27,725,179
148,Medical Research,PhD students and postdoctoral fellows,20000-50000,12,2023-06-29,1368,125
149,Neuroscience,Early-career researchers with a PhD or equivalent degree,20000-50000,12,2023-02-05,232,57
150,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",100000-250000,12,2023-07-24,298,198
151,Computer Science,Early-career researchers with a PhD or equivalent degree,50000-100000,6,2023-05-21,1864,93
152,Materials Science,Researchers from developing countries,20000-50000,6,2023-03-27,1179,107
153,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,36,2023-01-17,1986,94
154,Medical Research,PhD students and postdoctoral fellows,5000-15000,6,2023-11-26,435,37
155,Materials Science,PhD students and postdoctoral fellows,5000-15000,6,2023-01-09,1428,92
156,Chemical Engineering,PhD students and postdoctoral fellows,100000-500000,6,2023-07-07,810,100
157,Neuroscience,Researchers from developing countries,25000-50000,24,2023-06-12,1030,84
158,Electrical Engineering,PhD students and postdoctoral fellows,25000-50000,36,2023-06-02,322,169
159,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,6,2023-04-01,817,157
160,Neuroscience,PhD students and postdoctoral fellows,5000-15000,36,2023-05-07,121,79
161,Chemical Engineering,PhD students and postdoctoral fellows,500000-1000000,36,2023-02-23,143,75
162,Computer Science,PhD students and postdoctoral fellows,50000-100000,24,2023-09-27,1729,21
163,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-500000,24,2023-09-23,1971,139
164,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,6,2023-02-18,1131,27
165,Chemical Engineering,PhD students and postdoctoral fellows,5000-15000,36,2023-09-19,321,142
166,Medical Research,PhD students and postdoctoral fellows,100000-500000,6,2023-10-30,775,74
167,Physics,Early-career researchers with a PhD or equivalent degree,20000-50000,24,2023-10-01,1390,109
168,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,6,2023-04-13,1718,47
169,Environmental Science,Researchers from developing countries,5000-15000,6,2023-08-02,1891,67
170,Neuroscience,PhD students and postdoctoral fellows,500000-1000000,36,2023-11-21,151,162
171,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,6,2023-04-10,1962,136
172,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,6,2023-11-26,83,101
173,Physics,Early-career researchers with a PhD or equivalent degree,50000-100000,12,2023-09-20,1681,35
174,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,12,2023-11-04,982,164
175,Computer Science,Researchers from developing countries,100000-250000,24,2023-03-09,177,19
176,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,2023-10-22,1260,147
177,Medical Research,Researchers from developing countries,500000-1000000,24,2023-08-11,941,33
178,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,36,2023-04-24,1767,178
179,Materials Science,Early-career researchers with a PhD or equivalent degree,25000-50000,12,2023-02-09,1071,43
180,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-08-18,1877,52
181,Materials Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,2023-01-08,1359,137
182,Computer Science,Early-career researchers with a PhD or equivalent degree,100000-500000,6,2023-07-17,255,172
183,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,2023-10-11,471,135
184,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,2023-05-02,837,72
185,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-10-18,1384,66
186,Medical Research,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2023-06-21,1961,194
187,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,6,2023-08-25,369,190
188,Physics,Early-career researchers with a PhD or equivalent degree,5000-15000,12,2023-04-10,830,34
189,Computer Science,PhD students and postdoctoral fellows,5000-10000,6,2023-08-21,99,109
190,Physics,Early-career researchers with a PhD or equivalent degree,500000-1000000,6,2023-11-30,100,135
191,Environmental Science,Early-career researchers with a PhD or equivalent degree,20000-50000,6,2023-04-30,974,140
192,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,6,2023-09-28,1206,61
193,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-15000,6,2023-03-27,1536,98
194,Physics,PhD students and postdoctoral fellows,100000-250000,6,2023-09-11,1058,111
195,Neuroscience,Researchers from developing countries,5000-15000,6,2023-09-24,1639,100
196,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,36,2023-01-24,1072,96
197,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,36,2023-11-15,788,8
198,Neuroscience,Early-career researchers with a PhD or equivalent degree,20000-50000,12,2023-11-09,358,86
199,Electrical Engineering,Researchers from developing countries,20000-50000,36,2023-04-07,978,113
200,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,6,2023-04-14,585,139
201,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,24,2023-04-21,131,104
202,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-15000,36,2023-07-25,364,161
203,Environmental Science,Researchers from developing countries,100000-500000,12,2023-03-07,1524,173
204,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,6,2023-08-10,1557,193
205,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,36,2023-11-23,1681,132
206,Chemical Engineering,PhD students and postdoctoral fellows,25000-50000,12,2023-12-19,1788,115
207,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,36,2023-09-18,739,58
208,Electrical Engineering,PhD students and postdoctoral fellows,5000-10000,36,2023-04-16,1062,140
209,Materials Science,Early-career researchers with a PhD or equivalent degree,100000-250000,6,2023-04-01,1527,9
210,Neuroscience,Early-career researchers with a PhD or equivalent degree,5000-15000,12,2023-02-19,572,89
211,Medical Research,PhD students and postdoctoral fellows,20000-50000,24,2023-01-07,1809,159
212,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,6,2023-01-24,1171,35
213,Environmental Science,"Established researchers with at least 5 years of experience, must have NIH funding",500000-1000000,6,2023-12-18,589,104
214,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-09-15,529,195
215,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,36,2023-01-28,772,143
216,Electrical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,12,2023-12-15,1273,87
217,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",25000-50000,12,2023-12-14,1376,179
218,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,24,2023-10-01,702,37
219,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,6,2023-03-20,155,51
220,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,24,2023-08-18,257,122
221,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,2023-05-16,854,120
222,Computer Science,Early-career researchers with a PhD or equivalent degree,500000-1000000,12,2023-08-11,1030,84
223,Computer Science,PhD students and postdoctoral fellows,5000-10000,12,2023-02-26,955,182
224,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,12,2023-02-01,614,37
225,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,24,2023-02-01,953,185
226,Neuroscience,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,36,2023-03-27,336,145
227,Neuroscience,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,36,2023-03-13,439,160
228,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-10000,6,2023-07-27,1373,94
229,Neuroscience,Researchers from developing countries,25000-50000,24,2023-05-01,363,153
230,Neuroscience,Researchers from developing countries,20000-50000,6,2023-05-06,507,74
231,Electrical Engineering,Researchers from developing countries,25000-50000,12,2023-10-08,302,67
232,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,24,2023-09-13,251,172
233,Neuroscience,Researchers from developing countries,100000-500000,12,2023-02-08,1716,128
234,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,24,2023-06-30,1219,37
235,Electrical Engineering,Researchers from developing countries,500000-1000000,36,2023-12-01,455,178
236,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,36,2023-10-02,476,71
237,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,2023-12-21,1222,19
238,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,24,2023-04-20,1976,54
239,Physics,Early-career researchers with a PhD or equivalent degree,50000-100000,36,2023-07-01,611,125
240,Physics,PhD students and postdoctoral fellows,50000-100000,36,2023-04-03,581,180
241,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,20000-50000,24,2023-02-12,1604,102
242,Physics,Early-career researchers with a PhD or equivalent degree,100000-250000,12,2023-09-14,390,29
243,Electrical Engineering,Researchers from developing countries,50000-100000,36,2023-10-04,901,24
244,Electrical Engineering,Researchers from developing countries,100000-500000,6,2023-02-06,930,94
245,Medical Research,PhD students and postdoctoral fellows,100000-500000,24,2023-10-01,1803,125
246,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",5000-15000,24,2023-01-10,1648,189
247,Physics,Early-career researchers with a PhD or equivalent degree,20000-50000,12,2023-12-22,1249,150
248,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",25000-50000,12,2023-08-15,714,171
249,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-250000,12,2023-02-03,354,178
250,Neuroscience,Researchers from developing countries,100000-500000,6,2023-10-16,302,125
251,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,5000-10000,12,2023-08-16,977,52
252,Materials Science,Early-career researchers with a PhD or equivalent degree,5000-10000,36,2023-08-04,1737,160
253,Physics,Early-career researchers with a PhD or equivalent degree,25000-50000,24,2023-02-03,1746,197
254,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,6,2023-10-07,1495,173
255,Physics,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,6,2023-01-29,50,84
256,Neuroscience,PhD students and postdoctoral fellows,100000-500000,36,2023-09-25,756,53
257,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",100000-500000,36,2023-07-17,1636,103
258,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,24,2023-10-04,1194,141
259,Chemical Engineering,Early-career researchers with a PhD or equivalent degree,50000-100000,12,2023-11-29,617,170
260,Physics,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,12,2023-03-27,885,157
261,Physics,Researchers from developing countries,5000-10000,12,2023-03-30,1697,126
262,Medical Research,PhD students and postdoctoral fellows,5000-10000,12,2023-03-30,1164,75
263,Materials Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",20000-50000,12,2023-02-03,609,175
264,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,5000-15000,12,2023-10-24,145,114
265,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-15000,12,2023-01-15,1291,125
266,Electrical Engineering,PhD students and postdoctoral fellows,500000-1000000,24,2023-04-04,1277,178
267,Environmental Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",500000-1000000,12,2023-06-10,1589,158
268,Electrical Engineering,PhD students and postdoctoral fellows,5000-10000,36,2023-10-16,1044,99
269,Environmental Science,PhD students and postdoctoral fellows,5000-15000,6,2023-05-01,1536,51
270,Medical Research,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",50000-100000,6,2023-12-10,899,98
271,Medical Research,"Established researchers with at least 5 years of experience, must have NIH funding",20000-50000,6,2023-11-01,401,83
272,Physics,PhD students and postdoctoral fellows,20000-50000,24,2023-10-13,954,94
273,Materials Science,Researchers from developing countries,25000-50000,24,2023-06-29,1191,170
274,Computer Science,"Established researchers with at least 5 years of experience, must have NIH funding",50000-100000,24,2023-09-11,1023,41
275,Materials Science,PhD students and postdoctoral fellows,100000-250000,6,2023-10-26,127,123
276,Chemical Engineering,"Established researchers with at least 5 years of experience, must have NIH funding",5000-10000,12,2023-03-30,1179,128
277,Electrical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",100000-500000,36,2023-04-17,321,38
278,Computer Science,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,6,2023-12-10,1890,58
279,Electrical Engineering,Early-career researchers with a PhD or equivalent degree,25000-50000,36,2023-01-01,1495,9
280,Neuroscience,Early-career researchers with a PhD or equivalent degree,500000-1000000,24,2023-09-05,356,90
281,Chemical Engineering,"Graduate students and postdoctoral fellows, must have a GPA of 3.0 or higher",5000-10000,24,2023-03-02,812,188
